2025-11-21_21-32-57.350 | INFO     | PATH: D:\Report_Builder\reports\Contractor_Assigned 
2025-11-21_21-32-57.757 | INFO     | Script for Contractor_Assigned started 
2025-11-21_21-32-58.180 | INFO     | Running main.py 
2025-11-21 21:33:00.326 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 21:33:00.326 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 21:33:04.934 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 35 rows.
2025-11-21 21:33:05.325 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:05.451 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 21:33:05.451 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 21:33:10.044 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 93 rows.
2025-11-21 21:33:10.592 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:10.765 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 21:33:10.765 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_24Hour_Rescue.sql
2025-11-21 21:33:14.104 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 18 rows.
2025-11-21 21:33:14.652 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:14.652 | INFO     | Exporting data to Excel file.
2025-11-21 21:33:14.997 | SUCCESS  | All DataFrames combined and exported to Excel: D:\Report_Builder\reports\Contractor_Assigned\data\processed\CA_24Hour_Rescue.xlsx on sheet: Sheet1
2025-11-21 21:33:15.137 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 21:33:15.137 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 21:33:17.365 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 377 rows.
2025-11-21 21:33:17.835 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:17.976 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 21:33:17.976 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 21:33:20.090 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 337 rows.
2025-11-21 21:33:20.436 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:20.561 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 21:33:20.561 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Job_Type_Codes.sql
2025-11-21 21:33:22.224 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 336 rows.
2025-11-21 21:33:22.632 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:22.632 | INFO     | Exporting data to Excel file.
2025-11-21 21:33:22.773 | SUCCESS  | All DataFrames combined and exported to Excel: D:\Report_Builder\reports\Contractor_Assigned\data\processed\CA_Job_Type_Codes.xlsx on sheet: Sheet1
2025-11-21 21:33:22.945 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 21:33:22.945 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Pending_Today.sql
2025-11-21 21:33:38.247 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 569 rows.
2025-11-21 21:33:38.656 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:38.846 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 21:33:38.846 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Pending_Today.sql
2025-11-21 21:33:53.328 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 2980 rows.
2025-11-21 21:33:53.768 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:33:53.957 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 21:33:53.957 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Pending_Today.sql
2025-11-21 21:34:08.072 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 372 rows.
2025-11-21 21:34:08.479 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:34:08.479 | INFO     | Exporting data to Excel file.
2025-11-21 21:34:12.131 | SUCCESS  | All DataFrames combined and exported to Excel: D:\Report_Builder\reports\Contractor_Assigned\data\processed\CA_Pending_Today.xlsx on sheet: Sheet1
2025-11-21 21:34:12.334 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-21 21:34:12.334 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Rescue_yesterday.sql
2025-11-21 21:34:16.082 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 46 rows.
2025-11-21 21:34:16.537 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:34:16.678 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-21 21:34:16.678 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Rescue_yesterday.sql
2025-11-21 21:34:19.953 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 253 rows.
2025-11-21 21:34:20.329 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:34:20.471 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-21 21:34:20.471 | INFO     | Executing: D:\Report_Builder\reports\Contractor_Assigned\sql\CA_Rescue_yesterday.sql
2025-11-21 21:34:24.048 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 30 rows.
2025-11-21 21:34:24.393 | SUCCESS  | SQLAlchemy engine disposed
2025-11-21 21:34:24.393 | INFO     | Exporting data to Excel file.
2025-11-21 21:34:24.456 | SUCCESS  | All DataFrames combined and exported to Excel: D:\Report_Builder\reports\Contractor_Assigned\data\processed\CA_Rescue_yesterday.xlsx on sheet: Sheet1
2025-11-21_21-34-25.176 | SUCCESS  | main.py ran without any reported errors 
2025-11-21_21-34-25.614 | INFO     | Running UpdateReport.xlsm 
