2025-11-19_10-18-57.220 | INFO     | PATH: C:\git_local\Report_Builder\reports\Core_Customers 
2025-11-19_10-18-58.637 | INFO     | Script for Core_Customers started 
2025-11-19_10-19-00.188 | INFO     | Running main.py 
2025-11-19 10:19:09.549 | SUCCESS  | SQLAlchemy engine created using schema: OPS$CNE
2025-11-19 10:19:09.551 | INFO     | Executing: C:\git_local\Report_Builder\reports\Core_Customers\sql\CC_Pending.sql
2025-11-19 10:19:49.566 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 0 rows.
2025-11-19 10:19:50.050 | SUCCESS  | SQLAlchemy engine disposed
2025-11-19 10:19:51.089 | SUCCESS  | SQLAlchemy engine created using schema: OPS$EA2
2025-11-19 10:19:51.091 | INFO     | Executing: C:\git_local\Report_Builder\reports\Core_Customers\sql\CC_Pending.sql
2025-11-19 10:20:55.898 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 0 rows.
2025-11-19 10:20:56.451 | SUCCESS  | SQLAlchemy engine disposed
2025-11-19 10:20:57.449 | SUCCESS  | SQLAlchemy engine created using schema: OPS$MAN
2025-11-19 10:20:57.451 | INFO     | Executing: C:\git_local\Report_Builder\reports\Core_Customers\sql\CC_Pending.sql
2025-11-19 10:21:54.166 | SUCCESS  | Statement executed successfully via pd.read_sql, resulting in 0 rows.
2025-11-19 10:21:54.962 | SUCCESS  | SQLAlchemy engine disposed
2025-11-19 10:21:54.963 | INFO     | Exporting data to Excel file.
2025-11-19 10:21:56.129 | INFO     | No data found. Exported 'No Records' to Excel: C:\git_local\Report_Builder\reports\Core_Customers\data\processed\CC_Pending.xlsx.
2025-11-19_10-21-58.070 | SUCCESS  | main.py ran without any reported errors 
2025-11-19_10-22-00.513 | INFO     | Running UpdateReport.xlsm 
2025-11-19_10-22-07.314 | SUCCESS  | UpdateReport.xlsm ran without any reported errors 
2025-11-19_10-22-10.848 | INFO     | Running Copy_Core_Customers.xlsx 
2025-11-19_10-22-15.619 | SUCCESS  | Copy_Core_Customers.xlsx ran without any reported errors 
2025-11-19_10-22-17.895 | INFO     | Running Send Email 
2025-11-19_10-22-26.688 | ERROR    | "Send 
2025-11-19_10-22-27.990 | SUCCESS  | Batch script completed. 
